gene	uniprot
HGD76_14670	A0A6H2C1M3
HGD76_17685	A0A6H2C1M6
HGD76_12800	A0A6H2C1N4
HGD76_14785	A0A6H2C1N9
HGD76_15475	A0A6H2C1P9
HGD76_14840	A0A6H2C1Q0
HGD76_15930	A0A6H2C1Q2
HGD76_14145	A0A6H2C1Q4
HGD76_14915	A0A6H2C1R0
HGD76_17995	A0A6H2C1S0
HGD76_14970	A0A6H2C1V0
HGD76_15270	A0A6H2C1W6
HGD76_12935	A0A6H2C1X3
HGD76_15960	A0A6H2C1X5
HGD76_15330	A0A6H2C1X7
HGD76_13345	A0A6H2C1Y2
HGD76_18410	A0A6H2C1Y4
HGD76_16090	A0A6H2C1Z6
HGD76_14515	A0A6H2C221
HGD76_13595	A0A6H2C224
HGD76_15660	A0A6H2C226
HGD76_16265	A0A6H2C227
HGD76_16715	A0A6H2C228
HGD76_14655	A0A6H2C239
HGD76_16825	A0A6H2C246
HGD76_14705	A0A6H2C250
HGD76_18825	A0A6H2C257
HGD76_18895	A0A6H2C263
HGD76_15950	A0A6H2C277
HGD76_14950	A0A6H2C292
HGD76_17140	A0A6H2C296
HGD76_16755	A0A6H2C2A3
HGD76_16130	A0A6H2C2A8
HGD76_19170	A0A6H2C2B3
HGD76_14190	A0A6H2C2C7
HGD76_16125	A0A6H2C2E2
HGD76_14305	A0A6H2C2E7
HGD76_15620	A0A6H2C2F0
HGD76_19415	A0A6H2C2F1
HGD76_15315	A0A6H2C2F2
HGD76_19430	A0A6H2C2F5
HGD76_14110	A0A6H2C2F9
HGD76_16500	A0A6H2C2G8
HGD76_15450	A0A6H2C2H1
HGD76_17595	A0A6H2C2H4
HGD76_15810	A0A6H2C2I0
HGD76_15500	A0A6H2C2I2
HGD76_16375	A0A6H2C2I4
HGD76_17350	A0A6H2C2K5
HGD76_16545	A0A6H2C2L3
HGD76_16795	A0A6H2C2M0
HGD76_16625	A0A6H2C2M5
HGD76_17455	A0A6H2C2M6
HGD76_15875	A0A6H2C2P0
HGD76_17565	A0A6H2C2P5
HGD76_16790	A0A6H2C2Q4
HGD76_20090	A0A6H2C2R7
HGD76_14830	A0A6H2C2T1
HGD76_16115	A0A6H2C2T2
HGD76_16420	A0A6H2C2T3
HGD76_14890	A0A6H2C2U1
HGD76_16240	A0A6H2C2V5
HGD76_18505	A0A6H2C2V9
HGD76_16605	A0A6H2C2W2
HGD76_16290	A0A6H2C2W5
